"Party","Name","Constituency","Voting.1","Voting.2","Voting.3","Voting.4","Voting.5","Voting.6","Voting.7","Voting.8"
"LAB","Alison McGovern
","53","1","1","1","0","0","-1","-1","-1"
"LAB","Liz McInnes
","38","1","0","1","1","0","-1","-1","0"
"CON","Craig Mackinlay
","38","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Catherine McKinnell
","43","1","1","1","0","1","-1","-1","-1"
"CON","Rachel Maclean
","39","-1","-1","-1","-1","-1","1","1","-1"
"CON","Sir Patrick McLoughlin
","49","-1","-1","-1","-1","-1","-1","-1","-1"
"LAB","Jim McMahon
","39","1","0","1","1","0","-1","-1","0"
"LAB","Anna McMorrin
","61","-1","1","1","-1","1","-1","-1","-1"
"SNP","Angus Brendan MacNeil
","55","0","0","0","0","1","-1","-1","-1"
"CON","Stephen McPartland
","43","-1","-1","-1","-1","-1","1","1","-1"
"CON","Esther McVey
","54","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Justin Madders
","42","1","-1","1","1","0","-1","-1","-1"
"LAB","Khalid Mahmood
","49","1","1","1","1","0","-1","-1","0"
"LAB","Shabana Mahmood
","64","1","1","1","1","1","-1","-1","-1"
"CON","Anne Main
","62","-1","-1","-1","-1","-1","1","1","-1"
"CON","Alan Mak
","37","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Seema Malhotra
","44","1","1","1","1","0","-1","-1","-1"
"CON","Kit Malthouse
","45","-1","-1","-1","-1","-1","1","1","-1"
"LAB","John Mann
","32","-1","-1","1","-1","-1","-1","-1","-1"
"CON","Scott Mann
","40","-1","-1","-1","-1","-1","1","1","1"
"LAB","Gordon Marsden
","32","1","1","1","1","-1","-1","-1","-1"
"LAB","Sandy Martin
","44","1","1","1","1","1","-1","-1","-1"
"LAB","Rachael Maskell
","61","1","1","1","-1","1","-1","-1","-1"
"CON","Paul Masterton
","74","1","-1","-1","1","0","-1","-1","1"
"LAB","Christian Matheson
","58","1","1","1","-1","1","-1","-1","-1"
"CON","Paul Maynard
","33","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Ian Mearns
","44","1","0","1","1","0","-1","-1","0"
"CON","Mark Menzies
","43","-1","-1","-1","-1","-1","1","-1","-1"
"CON","Johnny Mercer
","34","-1","-1","-1","-1","-1","1","-1","-1"
"CON","Huw Merriman
","42","-1","1","-1","-1","-1","1","-1","-1"
"CON","Stephen Metcalfe
","27","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Edward Miliband
","28","1","1","1","1","0","-1","-1","0"
"CON","Maria Miller
","46","-1","-1","-1","-1","-1","1","1","-1"
"CON","Amanda Milling
","31","-1","-1","-1","-1","-1","1","0","-1"
"CON","Nigel Mills
","35","-1","-1","-1","-1","-1","1","1","-1"
"CON","Anne Milton
","59","1","0","-1","0","0","-1","-1","0"
"CON","Andrew Mitchell
","48","1","-1","-1","0","-1","1","1","0"
"SNP","Carol Monaghan
","69","0","1","0","0","1","-1","-1","-1"
"LAB","Madeleine Moon
","50","1","1","1","-1","1","-1","-1","-1"
"CON","Damien Moore
","54","-1","-1","-1","-1","-1","-1","-1","-1"
"OTH","Layla Moran
","62","0","1","0","0","1","-1","-1","0"
"LAB","Jessica Morden
","41","1","1","1","0","0","-1","-1","0"
"CON","Nicky Morgan
","50","1","-1","-1","1","-1","-1","-1","1"
"LAB","Stephen Morgan
","48","1","1","1","-1","1","-1","-1","-1"
"CON","Anne Marie Morris
","44","-1","-1","-1","-1","-1","1","-1","-1"
"CON","David Morris
","42","-1","-1","-1","-1","-1","-1","-1","-1"
"LAB","Grahame Morris
","34","-1","-1","1","-1","-1","-1","-1","-1"
"CON","James Morris
","33","-1","-1","-1","-1","-1","1","-1","-1"
"CON","Wendy Morton
","32","-1","-1","-1","-1","-1","1","-1","-1"
"LAB","Ian Murray
","78","1","1","0","1","1","-1","-1","-1"
"CON","Sheryll Murray
","45","-1","-1","-1","-1","-1","1","1","-1"
"CON","Andrew Murrison
","43","-1","-1","-1","-1","-1","1","0","0"
"LAB","Lisa Nandy
","37","1","0","1","1","1","-1","0","0"
"CON","Robert Neill
","50","1","-1","-1","1","-1","-1","-1","1"
"SNP","Gavin Newlands
","65","0","1","0","0","1","-1","-1","-1"
"CON","Sarah Newton
","54","1","0","-1","0","0","-1","-1","1"
"CON","Jesse Norman
","40","-1","-1","-1","-1","-1","-1","-1","-1"
"LAB","Alex Norris
","36","1","1","1","1","0","-1","-1","0"
"CON","Neil O'Brien
","48","-1","-1","-1","-1","-1","1","0","-1"
"CON","Matthew Offord
","58","-1","-1","-1","-1","-1","1","1","-1"
"SNP","Brendan O'Hara
","61","0","1","0","0","1","-1","-1","-1"
"OTH","Fiona Onasanya
","37","-1","1","0","1","0","-1","-1","-1"
"LAB","Melanie Onn
","29","1","-1","1","1","0","-1","0","0"
"LAB","Chi Onwurah
","52","1","1","1","1","1","-1","-1","-1"
"CON","Guy Opperman
","55","-1","-1","-1","-1","-1","-1","-1","-1"
"LAB","Kate Osamor
","54","1","1","1","-1","1","-1","-1","-1"
"LAB","Albert Owen
","--
","1","1","1","1","1","-1","-1","0"
"OTH","Ian Paisley
","38","-1","-1","-1","0","-1","0","1","0"
"CON","Neil Parish
","42","-1","-1","-1","0","-1","1","1","1"
"CON","Priti Patel
","39","-1","-1","-1","-1","-1","1","1","-1"
"CON","Owen Paterson
","40","-1","-1","-1","-1","-1","1","1","-1"
"CON","Mark Pawsey
","41","1","-1","-1","1","-1","-1","-1","1"
"LAB","Stephanie Peacock
","29","1","-1","1","1","0","-1","-1","0"
"LAB","Teresa Pearce
","45","1","1","1","0","0","-1","-1","0"
"CON","Sir Mike Penning
","44","-1","-1","-1","-1","-1","1","-1","-1"
"LAB","Matthew Pennycook
","64","1","1","1","1","1","-1","-1","-1"
"CON","John Penrose
","--
","-1","-1","-1","1","-1","1","1","1"
"CON","Andrew Percy
","34","-1","-1","-1","1","-1","1","1","1"
"LAB","Toby Perkins
","41","1","1","1","1","-1","-1","-1","-1"
"LAB","Jess Phillips
","40","1","1","1","1","1","-1","-1","-1"
"LAB","Bridget Phillipson
","38","1","1","1","0","0","-1","-1","-1"
"CON","Chris Philp
","54","-1","-1","-1","-1","-1","0","1","-1"
"LAB","Laura Pidcock
","45","1","1","1","1","0","-1","-1","0"
"CON","Christopher Pincher
","34","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Jo Platt
","37","1","0","1","1","0","-1","-1","0"
"LAB","Luke Pollard
","46","1","1","1","1","1","-1","-1","-1"
"CON","Dan Poulter
","45","-1","-1","-1","-1","-1","1","-1","1"
"LAB","Stephen Pound
","54","1","1","1","1","0","-1","-1","0"
"CON","Rebecca Pow
","47","-1","-1","-1","1","-1","-1","-1","1"
"LAB","Lucy Powell
","64","1","1","1","1","0","-1","-1","0"
"CON","Victoria Prentis
","50","1","-1","-1","0","-1","-1","-1","0"
"CON","Mark Prisk
","51","-1","-1","-1","-1","-1","-1","-1","1"
"CON","Mark Pritchard
","41","-1","-1","-1","-1","-1","1","-1","-1"
"CON","Tom Pursglove
","40","-1","-1","-1","-1","-1","1","1","-1"
"CON","Jeremy Quin
","51","-1","-1","-1","-1","-1","-1","-1","-1"
"CON","Will Quince
","48","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Yasmin Qureshi
","37","1","1","1","1","0","-1","-1","0"
"CON","Dominic Raab
","58","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Faisal Rashid
","49","1","1","1","1","1","-1","-1","0"
"LAB","Angela Rayner
","38","1","1","1","1","0","-1","-1","0"
"CON","John Redwood
","57","-1","-1","-1","-1","-1","1","-1","-1"
"LAB","Steve Reed
","59","1","1","1","1","1","-1","-1","0"
"LAB","Christina Rees
","46","1","1","1","1","0","-1","-1","0"
"CON","Jacob Rees-Mogg
","48","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Ellie Reeves
","65","1","1","1","0","1","-1","-1","-1"
"LAB","Rachel Reeves
","47","1","1","1","1","1","-1","-1","-1"
"LAB","Emma Reynolds
","32","1","1","1","1","0","-1","-1","-1"
"LAB","Jonathan Reynolds
","41","1","1","1","1","0","-1","-1","0"
"LAB","Marie Rimmer
","44","1","1","1","1","1","-1","-1","-1"
"CON","Laurence Robertson
","46","-1","-1","-1","-1","-1","1","1","-1"
"OTH","Gavin Robinson
","48","-1","-1","-1","0","-1","0","1","0"
"LAB","Geoffrey Robinson
","42","1","1","1","1","-1","-1","-1","0"
"CON","Mary Robinson
","57","-1","-1","-1","-1","-1","-1","-1","-1"
"LAB","Matt Rodda
","62","1","1","1","1","1","-1","-1","0"
"CON","Andrew Rosindell
","31","-1","-1","-1","-1","-1","1","1","-1"
"CON","Douglas Ross
","50","-1","-1","-1","-1","-1","0","0","-1"
"LAB","Danielle Rowley
","62","1","1","1","1","1","-1","-1","0"
"CON","Lee Rowley
","38","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Chris Ruane
","43","1","1","1","1","0","-1","-1","-1"
"LAB","Lloyd Russell-Moyle
","56","1","1","1","-1","1","-1","-1","-1"
"OTH","Joan Ryan
","51","0","1","-1","-1","1","-1","-1","-1"
"CON","Antoinette Sandbach
","48","1","1","-1","1","0","-1","-1","1"
"OTH","Liz Saville Roberts
","53","0","1","0","1","1","-1","-1","0"
"CON","Paul Scully
","49","-1","-1","-1","-1","-1","1","1","-1"
"CON","Bob Seely
","38","-1","-1","-1","-1","-1","1","-1","-1"
"CON","Andrew Selous
","42","-1","-1","-1","-1","-1","0","0","-1"
"LAB","Naz Shah
","53","1","1","1","1","0","-1","-1","0"
"OTH","Jim Shannon
","44","-1","-1","-1","0","-1","-1","1","0"
"CON","Grant Shapps
","47","-1","-1","-1","-1","-1","1","1","-1"
"CON","Alok Sharma
","48","-1","-1","-1","-1","-1","-1","-1","-1"
"LAB","Virendra Sharma
","58","1","1","1","1","1","-1","-1","-1"
"LAB","Barry Sheerman
","48","1","1","1","0","1","-1","-1","-1"
"SNP","Tommy Sheppard
","72","0","1","0","0","1","-1","-1","-1"
"LAB","Paula Sherriff
","43","1","0","1","1","0","-1","-1","0"
"OTH","Gavin Shuker
","45","-1","1","-1","-1","1","-1","-1","-1"
"LAB","Tulip Siddiq
","76","1","1","1","-1","1","-1","-1","-1"
"OTH","David Simpson
","47","-1","-1","-1","0","-1","0","1","0"
"CON","Keith Simpson
","46","-1","-1","-1","-1","-1","-1","-1","-1"
"CON","Chris Skidmore
","43","-1","-1","-1","-1","-1","-1","-1","-1"
"LAB","Dennis Skinner
","30","-1","-1","1","-1","-1","1","-1","1"
"LAB","Andy Slaughter
","69","1","1","1","0","1","-1","-1","-1"
"LAB","Ruth Smeeth
","28","1","-1","1","-1","-1","-1","-1","-1"
"OTH","Angela Smith
","39","-1","1","-1","-1","1","-1","-1","-1"
"LAB","Cat Smith
","48","1","1","1","1","0","-1","-1","0"
"CON","Chloe Smith
","43","-1","-1","-1","-1","-1","0","0","-1"
"LAB","Eleanor Smith
","46","1","1","1","1","0","-1","-1","0"
"CON","Henry Smith
","42","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Jeff Smith
","75","1","1","1","1","1","-1","-1","-1"
"LAB","Laura Smith
","40","1","-1","1","-1","0","-1","-1","-1"
"LAB","Nick Smith
","38","1","1","1","0","0","-1","-1","0"
"LAB","Owen Smith
","53","0","1","0","-1","1","-1","-1","-1"
"CON","Royston Smith
","40","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Karin Smyth
","53","1","1","1","1","1","-1","-1","-1"
"LAB","Gareth Snell
","35","1","-1","1","-1","-1","-1","-1","-1"
"CON","Sir Nicholas Soames
","54","1","-1","-1","1","-1","-1","-1","-1"
"LAB","Alex Sobel
","65","1","1","1","1","1","-1","-1","-1"
"OTH","Anna Soubry
","47","-1","1","-1","-1","1","-1","-1","-1"
"LAB","John Spellar
","38","1","-1","1","-1","-1","-1","-1","-1"
"CON","Dame Caroline Spelman
","41","1","-1","-1","1","-1","-1","-1","1"
"CON","Mark Spencer
","36","-1","-1","-1","-1","-1","1","0","-1"
"LAB","Keir Starmer
","73","1","1","1","1","0","-1","-1","0"
"SNP","Chris Stephens
","59","0","1","0","0","1","-1","-1","-1"
"CON","Andrew Stephenson
","37","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Jo Stevens
","68","0","1","0","-1","1","-1","-1","-1"
"CON","John Stevenson
","39","-1","-1","-1","1","-1","0","-1","1"
"CON","Bob Stewart
","53","-1","-1","-1","-1","-1","1","1","-1"
"CON","Iain Stewart
","47","-1","-1","-1","-1","-1","1","1","-1"
"CON","Rory Stewart
","45","1","-1","-1","0","-1","-1","-1","0"
"OTH","Jamie Stone
","49","0","1","0","0","1","-1","-1","0"
"CON","Sir Gary Streeter
","45","-1","-1","-1","-1","-1","-1","-1","1"
"LAB","Wes Streeting
","47","1","1","1","0","1","-1","-1","-1"
"CON","Mel Stride
","49","-1","-1","-1","-1","-1","-1","-1","-1"
"LAB","Graham Stringer
","--
","-1","-1","0","-1","-1","0","1","-1"
"CON","Graham Stuart
","41","-1","-1","-1","-1","-1","1","1","-1"
"CON","Julian Sturdy
","55","-1","-1","-1","-1","-1","0","1","1"
"CON","Rishi Sunak
","45","-1","-1","-1","-1","-1","1","1","-1"
"CON","Sir Desmond Swayne
","45","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Paul Sweeney
","59","1","1","1","1","1","-1","-1","0"
"OTH","Jo Swinson
","73","0","1","0","0","1","-1","-1","0"
"CON","Sir Hugo Swire
","50","-1","-1","-1","-1","-1","-1","0","-1"
"CON","Sir Robert Syms
","43","-1","-1","-1","-1","-1","1","-1","-1"
"LAB","Mark Tami
","42","1","1","1","0","0","-1","-1","0"
"SNP","Alison Thewliss
","71","0","1","0","0","1","-1","-1","-1"
"CON","Derek Thomas
","45","-1","-1","-1","-1","-1","1","1","1"
"LAB","Gareth Thomas
","55","1","1","1","1","1","-1","-1","-1"
"LAB","Nick Thomas-Symonds
","39","1","1","1","0","0","-1","-1","0"
"CON","Ross Thomson
","68","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Emily Thornberry
","72","1","1","1","1","0","-1","-1","0"
"CON","Maggie Throup
","37","-1","-1","-1","-1","-1","1","-1","-1"
"LAB","Stephen Timms
","54","1","1","1","1","1","-1","-1","0"
"CON","Kelly Tolhurst
","36","-1","-1","-1","-1","-1","1","-1","-1"
"CON","Justin Tomlinson
","43","-1","-1","-1","-1","-1","1","1","-1"
"CON","Michael Tomlinson
","43","-1","-1","-1","-1","-1","1","1","-1"
"CON","Craig Tracey
","32","-1","-1","-1","-1","-1","1","-1","-1"
"CON","David Tredinnick
","39","-1","-1","-1","1","-1","-1","-1","1"
"CON","Anne-Marie Trevelyan
","45","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Jon Trickett
","32","1","0","1","1","0","-1","-1","0"
"CON","Tom Tugendhat
","47","0","-1","0","0","-1","0","0","0"
"LAB","Anna Turley
","32","1","1","1","0","1","-1","-1","-1"
"LAB","Karl Turner
","27","1","1","1","1","0","0","0","0"
"LAB","Derek Twigg
","42","1","-1","1","-1","-1","-1","-1","-1"
"LAB","Stephen Twigg
","50","1","1","1","1","1","-1","-1","0"
"LAB","Liz Twist
","44","1","1","1","1","0","-1","-1","0"
"OTH","Chuka Umunna
","80","-1","1","-1","-1","1","-1","-1","-1"
"CON","Edward Vaizey
","53","1","0","-1","1","0","-1","-1","1"
"CON","Shailesh Vara
","43","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Keith Vaz
","46","1","1","1","1","1","-1","-1","0"
"LAB","Valerie Vaz
","38","1","1","1","1","0","-1","-1","0"
"CON","Martin Vickers
","30","-1","-1","-1","-1","-1","1","-1","-1"
"CON","Theresa Villiers
","59","-1","-1","-1","-1","-1","0","1","-1"
"CON","Charles Walker
","34","-1","-1","-1","-1","-1","-1","-1","-1"
"CON","Robin Walker
","46","0","-1","-1","-1","-1","-1","-1","-1"
"LAB","Thelma Walker
","50","1","1","1","-1","1","-1","-1","-1"
"CON","Ben Wallace
","46","-1","-1","-1","-1","-1","1","-1","1"
"CON","David Warburton
","50","-1","-1","-1","-1","-1","1","1","1"
"CON","Matt Warman
","24","-1","-1","-1","-1","-1","1","-1","-1"
"CON","Giles Watling
","27","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Tom Watson
","32","1","1","1","1","0","-1","-1","0"
"LAB","Catherine West
","75","1","1","1","0","1","-1","-1","-1"
"LAB","Matt Western
","58","1","1","1","1","1","-1","-1","-1"
"CON","Helen Whately
","41","-1","-1","-1","-1","-1","1","1","-1"
"CON","Heather Wheeler
","40","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Alan Whitehead
","51","1","1","1","1","1","-1","-1","-1"
"LAB","Martin Whitfield
","65","1","1","1","0","1","-1","-1","0"
"SNP","Philippa Whitford
","58","0","1","0","0","1","-1","-1","-1"
"CON","Craig Whittaker
","47","-1","-1","-1","-1","-1","1","-1","-1"
"CON","John Whittingdale
","39","-1","-1","-1","-1","-1","1","1","-1"
"CON","Bill Wiggin
","42","-1","-1","-1","-1","-1","1","1","-1"
"OTH","Hywel Williams
","64","0","1","0","1","1","-1","-1","0"
"LAB","Paul Williams
","42","-1","1","1","-1","1","-1","-1","-1"
"OTH","Chris Williamson
","46","1","-1","1","-1","-1","0","-1","0"
"LAB","Phil Wilson
","41","1","1","1","1","0","-1","-1","0"
"OTH","Sammy Wilson
","45","-1","-1","-1","0","-1","0","1","0"
"SNP","Pete Wishart
","60","0","0","0","0","1","-1","-1","-1"
"OTH","Sarah Wollaston
","46","-1","1","-1","-1","1","-1","-1","-1"
"CON","Mike Wood
","30","-1","-1","-1","-1","-1","1","0","-1"
"OTH","John Woodcock
","43","0","1","-1","0","1","-1","-1","-1"
"CON","William Wragg
","48","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Mohammad Yasin
","48","1","1","1","1","1","-1","-1","-1"
"CON","Nadhim Zahawi
","49","-1","-1","-1","0","-1","0","0","0"
"LAB","Daniel Zeichner
","74","0","1","0","-1","1","-1","-1","-1"
