"Party","Name","Constituency","Voting.1","Voting.2","Voting.3","Voting.4","Voting.5","Voting.6","Voting.7","Voting.8"
"SNP","Douglas Chapman
","61","0","1","0","0","1","-1","-1","-1"
"LAB","Jenny Chapman
","42","1","1","1","1","0","-1","-1","0"
"LAB","Bambos Charalambous
","62","1","1","1","1","1","-1","-1","0"
"SNP","Joanna Cherry
","72","0","1","0","0","1","-1","-1","-1"
"CON","Rehman Chishti
","36","-1","-1","-1","-1","-1","1","0","-1"
"CON","Sir Christopher Chope
","40","-1","-1","-1","-1","-1","1","1","-1"
"CON","Jo Churchill
","46","-1","-1","-1","-1","-1","-1","-1","-1"
"CON","Colin Clark
","56","0","-1","-1","-1","-1","-1","0","0"
"CON","Kenneth Clarke
","59","1","0","1","1","1","-1","-1","-1"
"CON","Simon Clarke
","35","-1","-1","-1","-1","-1","1","1","-1"
"CON","James Cleverly
","38","-1","-1","-1","-1","-1","0","-1","-1"
"CON","Sir Geoffrey Clifton-Brown
","52","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Ann Clwyd
","43","-1","1","-1","-1","1","-1","-1","-1"
"LAB","Vernon Coaker
","44","1","1","1","1","0","-1","-1","-1"
"OTH","Ann Coffey
","53","-1","1","-1","-1","1","-1","-1","-1"
"CON","Thérèse Coffey
","45","-1","-1","-1","-1","-1","0","0","-1"
"CON","Damian Collins
","38","-1","-1","-1","1","-1","-1","-1","1"
"LAB","Julie Cooper
","33","1","0","1","1","0","-1","-1","0"
"LAB","Rosie Cooper
","45","1","-1","1","-1","-1","-1","-1","-1"
"LAB","Yvette Cooper
","31","1","1","1","1","0","-1","-1","0"
"LAB","Jeremy Corbyn
","78","1","1","1","1","0","-1","-1","0"
"CON","Alberto Costa
","42","-1","-1","-1","1","-1","-1","-1","1"
"CON","Robert Courts
","54","-1","-1","-1","-1","-1","1","1","1"
"SNP","Ronnie Cowan
","64","0","1","0","0","1","-1","-1","-1"
"LAB","Neil Coyle
","74","1","1","1","-1","1","-1","-1","-1"
"CON","Stephen Crabb
","45","1","-1","-1","1","-1","-1","-1","1"
"LAB","Sir David Crausby
","42","1","1","1","1","1","-1","-1","-1"
"SNP","Angela Crawley
","64","0","1","0","0","1","-1","-1","-1"
"LAB","Mary Creagh
","37","1","1","1","0","1","-1","-1","-1"
"LAB","Stella Creasy
","67","1","1","1","0","1","-1","-1","-1"
"CON","Tracey Crouch
","36","-1","-1","-1","-1","-1","1","0","-1"
"LAB","Jon Cruddas
","30","1","-1","1","1","-1","-1","-1","0"
"LAB","John Cryer
","65","1","1","1","1","0","-1","-1","0"
"LAB","Judith Cummins
","36","1","0","1","0","0","-1","-1","0"
"LAB","Alex Cunningham
","34","1","1","1","1","1","-1","-1","-1"
"LAB","Jim Cunningham
","50","-1","1","1","1","-1","-1","-1","-1"
"LAB","Janet Daby
","65","1","1","1","0","1","-1","-1","-1"
"LAB","Nic Dakin
","31","1","1","1","0","0","-1","-1","0"
"OTH","Sir Edward Davey
","59","0","1","0","0","1","-1","-1","0"
"LAB","Wayne David
","45","1","1","1","1","0","-1","-1","0"
"CON","Chris Davies
","48","-1","-1","-1","-1","-1","1","1","1"
"CON","David T. C. Davies
","52","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Geraint Davies
","57","1","1","1","0","1","-1","-1","-1"
"CON","Glyn Davies
","44","-1","-1","-1","-1","-1","1","1","1"
"CON","Mims Davies
","46","-1","-1","-1","-1","-1","1","-1","-1"
"CON","Philip Davies
","48","-1","-1","-1","-1","-1","1","1","-1"
"CON","David Davis
","45","-1","-1","-1","-1","-1","1","-1","-1"
"SNP","Martyn Day
","58","0","1","0","0","1","-1","-1","-1"
"LAB","Marsha De Cordova
","78","1","1","1","0","1","-1","-1","-1"
"LAB","Gloria De Piero
","29","1","0","1","1","0","-1","-1","0"
"LAB","Thangam Debbonaire
","79","1","1","1","1","1","-1","-1","0"
"LAB","Emma Dent Coad
","69","1","1","1","-1","1","-1","-1","-1"
"LAB","Tanmanjeet Singh Dhesi
","46","1","1","1","1","0","-1","-1","0"
"CON","Caroline Dinenage
","38","-1","-1","-1","-1","-1","1","1","-1"
"CON","Jonathan Djanogly
","46","1","0","-1","1","-1","-1","-1","1"
"SNP","Martin Docherty-Hughes
","62","0","1","0","0","1","-1","-1","-1"
"LAB","Anneliese Dodds
","68","1","1","1","1","1","-1","-1","0"
"OTH","Nigel Dodds
","50","-1","-1","-1","0","-1","0","1","0"
"OTH","Sir Jeffrey M. Donaldson
","47","-1","-1","-1","0","-1","0","1","0"
"CON","Michelle Donelan
","48","-1","-1","-1","-1","-1","0","1","-1"
"CON","Nadine Dorries
","47","-1","-1","-1","-1","-1","1","1","-1"
"CON","Steve Double
","36","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Stephen Doughty
","57","1","1","1","0","1","-1","-1","-1"
"LAB","Peter Dowd
","45","1","1","1","1","0","-1","-1","0"
"CON","Oliver Dowden
","49","-1","-1","-1","-1","-1","-1","-1","-1"
"CON","Jackie Doyle-Price
","30","-1","-1","-1","-1","-1","1","-1","-1"
"CON","Richard Drax
","41","-1","-1","-1","-1","-1","1","1","-1"
"LAB","David Drew
","54","1","1","1","1","1","-1","-1","0"
"LAB","Jack Dromey
","37","1","1","1","1","0","-1","-1","-1"
"CON","James Duddridge
","39","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Rosie Duffield
","55","1","1","1","0","1","-1","-1","-1"
"CON","David Duguid
","46","-1","-1","-1","-1","-1","-1","-1","1"
"CON","Sir Alan Duncan
","46","0","-1","-1","0","1","-1","-1","0"
"CON","Iain Duncan Smith
","50","-1","-1","-1","-1","-1","1","1","-1"
"CON","Philip Dunne
","42","-1","-1","-1","-1","-1","-1","1","-1"
"LAB","Angela Eagle
","50","1","1","1","0","1","-1","-1","0"
"LAB","Maria Eagle
","52","1","1","1","0","1","-1","-1","-1"
"OTH","Jonathan Edwards
","47","0","1","0","1","1","-1","-1","0"
"LAB","Clive Efford
","48","1","1","1","1","1","-1","-1","-1"
"LAB","Julie Elliott
","40","1","1","1","0","0","-1","-1","0"
"CON","Michael Ellis
","40","-1","-1","-1","-1","-1","1","-1","-1"
"LAB","Dame Louise Ellman
","73","1","1","1","-1","1","-1","-1","-1"
"LAB","Chris Elmore
","41","1","1","1","0","1","-1","-1","-1"
"CON","Charlie Elphicke
","37","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Bill Esterson
","56","1","1","1","1","1","-1","-1","-1"
"CON","George Eustice
","42","-1","-1","-1","1","-1","1","1","1"
"LAB","Chris Evans
","41","1","0","1","1","0","-1","-1","0"
"CON","Nigel Evans
","41","-1","-1","-1","-1","-1","1","1","-1"
"CON","Sir David Evennett
","35","-1","-1","-1","-1","-1","0","-1","-1"
